"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 17:00","2014","09","11","17:00","16.6","","9.1","","62","","0.0","","29","","33","","","","100.59","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 18:00","2014","09","11","18:00","15.3","","8.2","","63","","0.0","","28","","28","","","","100.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 19:00","2014","09","11","19:00","14.1","","8.3","","68","","0.0","","29","","26","","","","100.86","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 20:00","2014","09","11","20:00","12.8","","8.2","","74","","0.0","","29","","25","","","","100.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 21:00","2014","09","11","21:00","11.9","","6.6","","70","","0.0","","30","","26","","","","101.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 22:00","2014","09","11","22:00","11.6","","5.0","","64","","0.0","","33","","21","","","","101.21","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-11 23:00","2014","09","11","23:00","11.3","","5.2","","66","","0.0","","30","","21","","","","101.31","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 00:00","2014","09","12","00:00","9.8","","4.4","","69","","0.0","","31","","17","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 01:00","2014","09","12","01:00","9.9","","4.9","","71","","0.0","","30","","13","","","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 02:00","2014","09","12","02:00","8.7","","4.8","","76","","0.0","","30","","12","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 03:00","2014","09","12","03:00","8.4","","4.3","","75","","0.0","","31","","14","","","","101.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 04:00","2014","09","12","04:00","8.7","","4.0","","72","","0.0","","32","","13","","","","101.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 05:00","2014","09","12","05:00","8.4","","3.9","","73","","0.0","","33","","10","","","","101.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 06:00","2014","09","12","06:00","9.1","","4.2","","71","","0.0","","33","","7","","","","101.81","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 07:00","2014","09","12","07:00","9.5","","3.7","","67","","0.0","","1","","11","","","","101.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 08:00","2014","09","12","08:00","9.8","","3.5","","65","","0.0","","2","","12","","","","101.88","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 09:00","2014","09","12","09:00","10.0","","3.9","","66","","0.0","","1","","7","","","","101.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 10:00","2014","09","12","10:00","10.0","","3.8","","65","","0.0","","30","","8","","","","101.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 11:00","2014","09","12","11:00","10.5","","4.1","","64","","0.0","","28","","8","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 12:00","2014","09","12","12:00","11.0","","4.9","","66","","0.0","","29","","9","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 13:00","2014","09","12","13:00","12.1","","5.1","","63","","0.0","","25","","7","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 14:00","2014","09","12","14:00","12.5","","5.1","","61","","0.0","","28","","7","","","","102.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 15:00","2014","09","12","15:00","14.0","","4.8","","54","","0.0","","22","","7","","","","102.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 16:00","2014","09","12","16:00","14.2","","4.7","","53","","0.0","","24","","7","","","","101.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 17:00","2014","09","12","17:00","13.7","","4.4","","53","","0.0","","23","","8","","","","102.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 18:00","2014","09","12","18:00","13.0","","6.1","","63","","0.0","","24","","13","","","","102.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 19:00","2014","09","12","19:00","12.1","","6.7","","69","","0.0","","24","","10","","","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 20:00","2014","09","12","20:00","11.5","","6.4","","71","","0.0","","24","","13","","","","102.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 21:00","2014","09","12","21:00","11.0","","6.5","","74","","0.0","","24","","10","","","","102.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 22:00","2014","09","12","22:00","9.7","","6.1","","78","","0.0","","25","","9","","","","102.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-12 23:00","2014","09","12","23:00","8.9","","5.6","","80","","0.0","","26","","5","","","","102.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 00:00","2014","09","13","00:00","8.9","","7.0","","88","","0.0","","10","","7","","","","102.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 01:00","2014","09","13","01:00","8.2","","6.2","","87","","0.0","","5","","5","","","","102.13","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 02:00","2014","09","13","02:00","8.2","","6.6","","90","","0.0","","3","","7","","","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 03:00","2014","09","13","03:00","8.0","","6.3","","89","","0.0","","3","","7","","","","102.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 04:00","2014","09","13","04:00","8.3","","6.1","","86","","0.0","","8","","5","","","","102.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 05:00","2014","09","13","05:00","8.7","","6.4","","86","","0.0","","3","","9","","","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 06:00","2014","09","13","06:00","8.6","","5.8","","83","","0.0","","4","","12","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 07:00","2014","09","13","07:00","9.1","","6.2","","82","","0.0","","4","","14","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 08:00","2014","09","13","08:00","9.3","","5.7","","79","","0.0","","4","","14","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 09:00","2014","09","13","09:00","10.4","","5.5","","71","","0.0","","6","","10","","","","101.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 10:00","2014","09","13","10:00","10.3","","5.9","","74","","0.0","","7","","13","","","","101.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 11:00","2014","09","13","11:00","11.4","","6.8","","73","","0.0","","7","","11","","","","101.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 12:00","2014","09","13","12:00","11.6","","7.4","","76","","0.0","","10","","17","","","","101.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 13:00","2014","09","13","13:00","10.7","","8.4","","86","","1.1","","11","","19","","","","101.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 14:00","2014","09","13","14:00","10.9","","9.4","","91","","2.8","","11","","27","","","","101.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 15:00","2014","09","13","15:00","11.0","","9.7","","91","","3.2","","13","","33","","","","101.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 16:00","2014","09","13","16:00","11.4","","10.5","","94","","5.4","","15","","31","","","","101.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 17:00","2014","09","13","17:00","11.7","","10.6","","93","","1.6","","17","","26","","","","101.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 18:00","2014","09","13","18:00","12.5","","11.6","","94","","3.9","","21","","18","","","","101.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 19:00","2014","09","13","19:00","11.3","","9.2","","87","","0.0","","25","","26","","","","101.33","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 20:00","2014","09","13","20:00","10.6","","8.6","","88","","0.0","","24","","21","","","","101.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 21:00","2014","09","13","21:00","10.4","","7.7","","84","","0.0","","25","","29","","","","101.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 22:00","2014","09","13","22:00","9.6","","6.6","","81","","0.0","","25","","27","","","","101.62","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-13 23:00","2014","09","13","23:00","9.0","","5.4","","78","","0.0","","27","","26","","","","101.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 00:00","2014","09","14","00:00","8.3","","4.1","","75","","0.0","","27","","22","","","","101.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 01:00","2014","09","14","01:00","8.0","","3.5","","73","","0.0","","27","","24","","","","101.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 02:00","2014","09","14","02:00","7.9","","4.9","","81","","0.0","","27","","19","","","","101.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 03:00","2014","09","14","03:00","7.3","","4.1","","80","","0.0","","28","","15","","","","101.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 04:00","2014","09","14","04:00","7.5","","3.5","","75","","0.0","","28","","16","","","","102.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 05:00","2014","09","14","05:00","7.4","","3.4","","76","","0.0","","28","","14","","","","102.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 06:00","2014","09","14","06:00","6.9","","3.5","","79","","0.0","","27","","11","","","","102.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 07:00","2014","09","14","07:00","8.3","","4.3","","76","","0.0","","29","","13","","","","102.24","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 08:00","2014","09","14","08:00","8.6","","4.0","","73","","0.0","","32","","12","","","","102.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 09:00","2014","09","14","09:00","8.8","","4.1","","72","","0.0","","36","","6","","","","102.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 10:00","2014","09","14","10:00","9.1","","3.6","","68","","0.0","","32","","5","","","","102.27","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 11:00","2014","09","14","11:00","9.7","","3.8","","67","","0.0","","33","","6","","","","102.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 12:00","2014","09","14","12:00","10.1","","4.0","","66","","0.0","","22","","7","","","","102.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 13:00","2014","09","14","13:00","10.0","","4.6","","69","","0.0","","26","","9","","","","102.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 14:00","2014","09","14","14:00","10.0","","4.5","","68","","0.0","","26","","12","","","","102.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 15:00","2014","09","14","15:00","10.4","","4.5","","67","","0.0","","25","","10","","","","102.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 16:00","2014","09","14","16:00","10.6","","4.7","","67","","0.0","","25","","11","","","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 17:00","2014","09","14","17:00","10.7","","4.5","","66","","0.0","","24","","13","","","","102.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 18:00","2014","09","14","18:00","10.0","","4.1","","67","","0.0","","25","","12","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 19:00","2014","09","14","19:00","8.8","","4.0","","72","","0.0","","25","","8","","","","102.07","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 20:00","2014","09","14","20:00","8.4","","4.0","","74","","0.0","","25","","7","","","","102.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 21:00","2014","09","14","21:00","7.5","","4.2","","80","","0.0","","","","0","","","","102.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 22:00","2014","09","14","22:00","6.9","","4.5","","85","","0.0","","","","0","","","","102.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-14 23:00","2014","09","14","23:00","6.4","","4.2","","86","","0.0","","25","","3","","","","101.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 00:00","2014","09","15","00:00","5.4","","3.8","","89","","0.0","","27","","7","","","","101.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 01:00","2014","09","15","01:00","5.1","","3.4","","89","","0.0","","30","","4","","","","101.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 02:00","2014","09","15","02:00","5.0","","3.4","","89","","0.0","","29","","7","","","","101.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 03:00","2014","09","15","03:00","5.9","","4.5","","91","","0.0","","","","0","","","","101.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 04:00","2014","09","15","04:00","6.9","","5.5","","91","","0.0","","12","","6","","","","101.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 05:00","2014","09","15","05:00","7.6","","6.4","","92","","0.0","","17","","7","","","","101.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 06:00","2014","09","15","06:00","7.6","","6.4","","92","","0.0","","14","","7","","","","101.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 07:00","2014","09","15","07:00","8.9","","7.2","","90","","0.0","","17","","8","","","","101.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 08:00","2014","09","15","08:00","9.3","","6.5","","83","","0.0","","16","","11","","","","101.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 09:00","2014","09","15","09:00","10.7","","5.3","","69","","0.0","","18","","10","","","","101.84","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 10:00","2014","09","15","10:00","12.5","","5.9","","64","","0.0","","19","","15","","","","101.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 11:00","2014","09","15","11:00","13.9","","7.4","","65","","0.0","","22","","11","","","","101.75","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 12:00","2014","09","15","12:00","15.4","","6.6","","56","","0.0","","22","","15","","","","101.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 13:00","2014","09","15","13:00","16.1","","7.1","","55","","0.0","","20","","16","","","","101.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 14:00","2014","09","15","14:00","17.1","","5.5","","46","","0.0","","24","","19","","","","101.50","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 15:00","2014","09","15","15:00","17.7","","6.7","","49","","0.0","","22","","18","","","","101.43","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 16:00","2014","09","15","16:00","17.6","","5.3","","44","","0.0","","23","","14","","","","101.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 17:00","2014","09","15","17:00","17.3","","6.8","","50","","0.0","","22","","12","","","","101.37","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 18:00","2014","09","15","18:00","17.1","","7.5","","53","","0.0","","22","","11","","","","101.34","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 19:00","2014","09","15","19:00","16.8","","8.2","","57","","0.0","","22","","13","","","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 20:00","2014","09","15","20:00","16.1","","8.9","","63","","0.0","","24","","15","","","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 21:00","2014","09","15","21:00","15.4","","9.8","","69","","0.0","","22","","14","","","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 22:00","2014","09","15","22:00","14.7","","9.2","","70","","0.0","","24","","15","","","","101.27","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-15 23:00","2014","09","15","23:00","13.4","","8.9","","74","","0.0","","24","","13","","","","101.24","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 00:00","2014","09","16","00:00","13.0","","10.1","","83","","0.0","","24","","13","","","","101.21","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 01:00","2014","09","16","01:00","12.4","","10.3","","87","","0.0","","26","","10","","","","101.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 02:00","2014","09","16","02:00","12.7","","10.3","","85","","0.0","","25","","12","","","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 03:00","2014","09","16","03:00","12.5","","10.4","","87","","0.0","","24","","9","","","","101.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 04:00","2014","09","16","04:00","11.4","","9.9","","90","","0.0","","28","","7","","","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 05:00","2014","09","16","05:00","11.9","","10.4","","90","","0.0","","25","","7","","","","101.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 06:00","2014","09","16","06:00","11.8","","10.4","","91","","0.0","","25","","7","","","","101.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 07:00","2014","09","16","07:00","12.1","","10.8","","91","","0.0","","25","","9","","","","101.13","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 08:00","2014","09","16","08:00","12.6","","10.9","","89","","0.0","","26","","8","","","","101.13","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 09:00","2014","09","16","09:00","13.0","","10.5","","85","","0.0","","27","","11","","","","101.13","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 10:00","2014","09","16","10:00","13.6","","10.0","","79","","0.0","","28","","14","","","","101.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 11:00","2014","09","16","11:00","15.1","","9.1","","68","","0.0","","25","","15","","","","101.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 12:00","2014","09","16","12:00","16.8","","9.6","","62","","0.0","","27","","18","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 13:00","2014","09","16","13:00","17.1","","10.0","","63","","0.0","","25","","13","","","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 14:00","2014","09","16","14:00","17.2","","8.9","","58","","0.0","","26","","14","","","","100.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 15:00","2014","09","16","15:00","17.3","","7.3","","52","","0.0","","27","","20","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 16:00","2014","09","16","16:00","18.1","","5.5","","44","","0.0","","26","","21","","","","100.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 17:00","2014","09","16","17:00","17.4","","4.8","","43","","0.0","","26","","20","","","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 18:00","2014","09","16","18:00","15.8","","5.9","","52","","0.0","","26","","13","","","","100.93","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 19:00","2014","09","16","19:00","14.5","","6.8","","60","","0.0","","25","","10","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 20:00","2014","09","16","20:00","13.6","","7.2","","65","","0.0","","26","","10","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 21:00","2014","09","16","21:00","12.2","","7.0","","70","","0.0","","26","","7","","","","100.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 22:00","2014","09","16","22:00","12.7","","6.7","","67","","0.0","","26","","7","","","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-16 23:00","2014","09","16","23:00","12.3","","7.3","","71","","0.0","","24","","9","","","","101.01","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-17 00:00","2014","09","17","00:00","10.9","","6.5","","74","","0.0","","26","","8","","","","101.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-17 01:00","2014","09","17","01:00","10.5","","6.3","","75","","0.0","","24","","8","","","","101.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-09-17 02:00","2014","09","17","02:00","9.7","","6.1","","78","","0.0","","23","","7","","","","101.00","","","","","","NA"
